transaction_id,serial_number,assessed_value,sales_amount,sales_ratio,address_id,property_type_id,date_recorded_id,property type,address,town_id,longitude,latitude,town,month,day,quarter,year,full_date,rate_x,lower_bound,upper_bound,census_units,total_assisted_units,rate_y
707075,120036,144300.0,154900.0,0.931568754,571500,1,5033,Single Family,157 WILLIE CIRCLE,101,,,Tolland,12.0,3.0,4.0,2012,2012-12-03,,,,,,
259217,30878,52500.0,194900.0,0.269368907,222027,11,2695,,11 SCUPPO RD,19,-73.48008,41.39149,Danbury,3.0,26.0,1.0,2004,2004-03-26,,,,,,
202647,20970,37380.0,89900.0,0.415795328,187806,11,835,,365 MATHER ST U30,41,,,Hamden,7.0,17.0,3.0,2003,2003-07-17,,,,,,
11939,200510,171000.0,265000.0,0.6452,11838,1,39,Single Family,10 OLD HICKORY LA,9,,,Branford,5.0,27.0,2.0,2021,2021-05-27,,,,,,
885653,17596,7000.0,25000.0,0.28,693988,5,2035,Condo,940 WETHERSFIELD AV UNIT 2,45,,,Hartford,6.0,4.0,2.0,2018,2018-06-04,,,,,,
313515,40078,301480.0,527000.0,0.572068311,280099,11,1088,,320 FALLS RD LT 24,122,,,Bethany,6.0,24.0,2.0,2005,2005-06-24,,,,,,
1082450,220058,163010.0,405000.0,0.4024,449900,1,6935,Single Family,749 WELLS RD,107,-72.6932983,41.699879,Wethersfield,11.0,11.0,4.0,2022,2022-11-11,,,,,,
673796,110066,337960.0,482800.0,0.7,546985,1,4720,Single Family,21 FIRENZI LA,33,,,Farmington,12.0,1.0,4.0,2011,2011-12-01,,,,,,
84416,21000527,100060.0,235000.0,0.4257,81626,1,272,Single Family,53 BIRCH DR,15,-72.883797024,41.562596993,Cheshire,9.0,8.0,3.0,2022,2022-09-08,,,,,,
124487,56089,725200.0,2450000.0,0.296,118875,11,1161,,2 CONNORS LN,157,-73.3568749,41.1952514,Weston,5.0,4.0,2.0,2006,2006-05-04,,,,,,
918063,170167,386000.0,415000.0,0.9301,714515,1,6159,Single Family,26 MICHELE LN,53,-72.6352274,41.3495662,Madison,3.0,6.0,1.0,2018,2018-03-06,,,,,,
1102496,230289,200270.0,595000.0,0.3365,827829,1,7151,Single Family,7 OLD BLACK PT RD,27,-72.21121,41.31027,East Lyme,8.0,5.0,3.0,2024,2024-08-05,,,,,,
254437,20938,111700.0,205000.0,0.544878049,231653,11,2451,,59 HILLSVIEW RD,160,-72.82657,41.44205,Wallingford,9.0,19.0,3.0,2003,2003-09-19,,,,,,
144397,12694,65591.0,201000.0,0.326323383,136978,11,700,,132 HERKIMER ST,11,-73.2074131,41.1856512,Bridgeport,9.0,3.0,3.0,2002,2002-09-03,,,,,,
846069,160059,444890.0,290000.0,1.534103448,668393,11,5899,,6 OLD AMITY RD,122,-72.9998181,41.399132,Bethany,5.0,10.0,2.0,2017,2017-05-10,,,,,,
12445,200409,183580.0,355000.0,0.5171,12330,1,8,Single Family,24 HOTCHKISS RD,33,-72.8431045,41.7104526,Farmington,6.0,1.0,2.0,2021,2021-06-01,,,,,,
325405,40522,73290.0,220000.0,0.333136364,289403,11,1060,,57 COLONY ST,41,-72.90972,41.38423,Hamden,3.0,31.0,1.0,2005,2005-03-31,,,,,,
288846,30884,102410.0,279900.0,0.365880672,260157,11,895,,411 WASHINGTON AVE,169,-72.94696,41.27004,West Haven,7.0,7.0,3.0,2004,2004-07-07,,,,,,
649245,110052,475700.0,533000.0,0.89249531,528805,1,4130,Single Family,186 STEEPHILL ROAD,157,,,Weston,4.0,26.0,2.0,2012,2012-04-26,,,,,,
886986,161212,307310.0,460000.0,0.668065217,694839,1,5871,Single Family,39 SURREY DR,66,-73.3919698,41.1358427,Norwalk,7.0,19.0,3.0,2017,2017-07-19,,,,,,
971455,180304,432380.0,610000.0,0.7088,748074,1,6291,Single Family,4 SCARBOROUGH ROAD,77,,,Simsbury,7.0,3.0,3.0,2019,2019-07-03,,,,,,
491554,60437,421600.0,710000.0,0.593802817,411885,1,3353,Single Family,228 THIMBLE ISS RD,9,,,Branford,7.0,5.0,3.0,2007,2007-07-05,,,,,,
1045742,190205,31640.0,4000.0,7.91,32170,11,2179,,EASTERN AVE,71,,,New London,4.0,20.0,2.0,2020,2020-04-20,,,,,,
249048,30379,87900.0,182000.0,0.482967033,227147,11,959,,52 CRESTVIEW DR,16,-72.333248,41.5649753,Colchester,9.0,20.0,3.0,2004,2004-09-20,,,,,,
62845,200102,75250.0,117000.0,0.6431,61190,5,139,Condo,143 PINE HILL RD 4C,99,,,Thomaston,3.0,31.0,1.0,2021,2021-03-31,,,,,,
650185,110251,30800.0,38000.0,0.810526316,529499,5,4800,Condo,4 NORTHWEST ST B-42,96,,,Stonington,8.0,8.0,3.0,2012,2012-08-08,,,,,,
1104331,231337,41030.0,185000.0,0.2218,828940,5,7065,Condo,236 BROOKS ST UNIT #236,11,-73.17955,41.1893,Bridgeport,7.0,31.0,3.0,2024,2024-07-31,,,,,,
123485,21042,618800.0,1265000.0,0.4891,117922,1,428,Single Family,192 RANGE ROAD,138,-73.429894025,41.168232011,Wilton,11.0,11.0,4.0,2021,2021-11-11,,,,,,
169493,10001,177590.0,320000.0,0.55496875,159118,11,731,,17 N TERRELL FARM RD,137,,,Morris,10.0,1.0,4.0,2001,2001-10-01,,0.4,1.11,,,
1028026,190742,123760.0,190000.0,0.6514,424227,5,6563,Condo,124 COURT ST #306,59,,,New Haven,6.0,9.0,2.0,2020,2020-06-09,,,,,,
775588,141202,64540.0,55000.0,1.173454545,620751,1,5479,Single Family,175 REYNOLDS ST,48,-71.8736803,41.8075939,Killingly,12.0,3.0,4.0,2014,2014-12-03,,,,,,
342465,49777,125580.0,500000.0,0.25116,299164,11,2931,,3085 WHITNEY AVE,41,-72.8991447,41.4074979,Hamden,7.0,6.0,3.0,2005,2005-07-06,,,,,,
813371,150134,183510.0,245000.0,0.749020408,646497,1,5608,Single Family,164 CANDLEWOOD LAKE RD,12,-73.4214357,41.4602231,Brookfield,3.0,30.0,1.0,2016,2016-03-30,,,,,,
390176,50117,182810.0,400000.0,0.457025,128199,11,3135,,8 TERRACE DR,6,-73.39558,41.41619,Bethel,2.0,1.0,1.0,2006,2006-02-01,,,,,,
227327,21122,79030.0,150000.0,0.526866667,208930,11,2499,,121 DEER RUN RD,57,-72.846904,41.520528,Meriden,8.0,5.0,3.0,2003,2003-08-05,,,,,,
188042,21585,52080.0,114600.0,0.454450262,175031,11,2475,,546 52 OGDEN ST,11,,,Bridgeport,4.0,4.0,2.0,2003,2003-04-04,,,,,,
567650,800236,3647800.0,269929.0,13.51392403,468045,5,4018,Condo,68 BANNAN LN,5,-72.75673,41.59006,Berlin,9.0,18.0,3.0,2009,2009-09-18,,,,,,
287072,30453,98420.0,225000.0,0.437422222,258732,11,911,,504 PUMPKIN HL RD,120,,,Ledyard,8.0,31.0,3.0,2004,2004-08-31,,,,,,
991998,180141,248780.0,395000.0,0.6298,760680,1,6396,Single Family,26 HAVILAND DRIVE,103,,,Trumbull,1.0,25.0,1.0,2019,2019-01-25,,,,,,
446838,60115,199010.0,434000.0,0.458548387,379750,5,1193,Condo,105 THORN HOLLOW RD,15,-72.869446032,41.477703988,Cheshire,12.0,21.0,4.0,2006,2006-12-21,,,,,,
58899,201014,86680.0,201000.0,0.4312,57354,1,42,Single Family,56 PORTER MANOR DR,97,-73.015409,41.547138,Waterbury,1.0,29.0,1.0,2021,2021-01-29,,,,,,
626315,100230,489100.0,650000.0,0.752461538,511790,1,4435,Single Family,5 LAKE AVE,9,-72.7765682,41.2661221,Branford,6.0,2.0,2.0,2011,2011-06-02,,,,,,
348947,40312,207080.0,320000.0,0.647125,307483,11,1078,,104 TAVERN CIR,49,-72.7405559,41.5788788,Middletown,1.0,21.0,1.0,2005,2005-01-21,,,,,,
957242,18065,221530.0,290000.0,0.7638,739270,1,6311,Single Family,171 PLAINS RD,124,-72.4966525,41.4586573,Haddam,4.0,1.0,2.0,2019,2019-04-01,74300.0,1.4,1.5,,,
78098,210005,350000.0,619900.0,0.5646,75716,5,258,Condo,13 MENLO PL,36,-72.580225027,41.695227996,Glastonbury,10.0,1.0,4.0,2021,2021-10-01,117400.0,1.24,1.32,,,
422243,50314,925400.0,1950000.0,0.474564103,362004,11,3098,,99 WOODLAND RD,67,-73.48593,41.13788,New Canaan,6.0,30.0,2.0,2006,2006-06-30,,,,,,
381618,41992,75810.0,157000.0,0.482866242,331921,11,1000,,41 GRANDVIEW AVE,97,-73.0610284,41.5575981,Waterbury,5.0,4.0,2.0,2005,2005-05-04,,,,,,
530318,70387,339290.0,460000.0,0.737586957,440295,5,3793,Condo,75 COS COB AVE #11,39,,,Greenwich,4.0,3.0,2.0,2008,2008-04-03,,,,,,
